Actions;Messages;;;
Plus que 50% du temps;Attention ! La journée est déjà à moitié écoulée ! N'oubliez pas de publier des informations ou vos lecteurs seront déçus.;;;
Plus que 25% du temps;Vous n'avez presque plus de temps, la journée touche bientôt à sa fin. Si ce n'est pas déjà fait, vous devriez vite publier des informations.;;;
;;;;
Feedback neutre départ;Cet indicateur vous indique ce que vos lecteurs vont penser des infos que vous publiez.;;;
;;;;
FEEDBACKS NIVEAU 2;;;;
Feedback positif bonne thématique;La thématique de cette info est exactement celle que vos lecteurs apprécient !;;;
Feedback négatif mauvaise thématique;Mauvais choix : vos lecteurs ne s'intéressent pas à la thématique de cette info.;;;
;;;;
FEEDBACKS NIVEAU 3;;;;
Feedback positif bonne thématique;La thématique de cette info fait partie de celles que vos lecteurs apprécient !;;;
Feedback négatif mauvaise thématique;Mauvais choix : vos lecteurs ne s'intéressent pas à la thématique de cette info.;;;
Feedback négatif info peu crédible;Mauvais choix : la crédibilité de cette info laisse franchement à désirer.;;;
;;;;
FEEDBACKS NIVEAU 4;;;;
Feedback négatif info peu crédible (cases A1, B1, C1, D1);Mauvais choix : la crédibilité de cette info laisse franchement à désirer.;;;
Feedback négatif thématique déjà traitée (cases A2, A3);Mauvais choix : vous avez déjà publié une info sur cette thématique.;;;
Feedback neutre thématique déjà traitée (case A4, B2);Cette info est inéressante, mais vous en avez déjà une autre sur la même thématique.;;;
Feedback neutre info pas très crédible (case C2);Cette info n'est pas 100% fausse, mais elle n'est pas non plus très crédible.;;;
;;;;
Feedback positif scoop pas encore publié (cases D2, D3, D4);Cette info est un scoop, vous l'avez publiée en premier. Bravo !;;;
Feedback positif scoop déjà publié (cases B3, B4);Vous aviez déjà publié une info sur cette thématique, mais celle-ci est un scoop. Bravo !;;;
Feedback positif bonne info (cases C3, C4);Voici une info crédible, sur une thématique pas encore publiée : bien joué !;;;
;;;;
Message contact capable de vérifier la crédibilité d'un Cuitt (crédibilité 0);J'ai fait quelques recherches et cette info est complètement bidon. Je vous déconseille de la publier !;;;
Message contact capable de vérifier la crédibilité d'un Cuitt (crédibilité 1);Cette info n'est pas vraiment crédible. Ne la publiez que si vous n'avez rien d'autre.;;;
Message contact capable de vérifier la crédibilité d'un Cuitt (crédibilité 2);Cette info est crédible. Vous pouvez la publier sans souci !;;;
Message contact capable de vérifier la crédibilité d'un Cuitt (crédibilité 3);Ah ! Voilà une super info ! Très crédible et intéressante… Foncez, publiez-la !;;;
Message contact incapable de vérifier la crédibilité d'un Cuitt;Je ne peux rien vous dire sur cette info… Sa thématique n'est pas ma spécialité.;;;
;;;;
Message contact capable de vérifier la crédibilité d'une source (peu crédible);Hum… Cette source n'est pas très crédible. Je serais vous, je me méfierais de ce qu'elle dit.;;;
Message contact capable de vérifier la crédibilité d'une source (assez crédible);Cette source est assez crédible. Il peut lui arriver de dire des bêtises, mais globalement, ça va.;;;
Message contact capable de vérifier la crédibilité d'une source (très crédible);Ah, je connais très bien cette personne. Vous pouvez lui faire confiance les yeux fermés !;;;
Message contact incapable de vérifier la crédibilité d'une source;Je ne peux rien vous dire sur cette source… Sa thématique n'est pas ma spécialité.;;;
;;;;
Message contact : c'est un scoop !;Incroyable ! Vous avez déniché un scoop ! Si cette info est crédible, publiez-la absolument !;;;
Message contact : c'est pas un scoop.;Ah… Cette info n'est pas un scoop. Mais si elle est crédible, elle intéressera peut-être vos lecteurs.;;;
Message contact incapable de vérifier si c'est un scoop;Je ne peux pas vous dire si cette info est un scoop… Sa thématique n'est pas ma spécialité.;;;
;;;;
Info-bulle utilisateur inactif;Cliquez sur un cuitt ou sur un avatar pour commencer à chercher des infos.;;;
Info-bulle vérifier thématique ou publier;Vous pouvez publier cette info, mais il vaut peut-être mieux vérifier sa thématique avant.;;;
Info-bulle vérifier crédibilité ou publier;Vous pouvez publier cette info, mais il vaut peut-être mieux vérifier sa crédibilité avant.;;;
Info-bulle analyser source;Analysez cette source pour savoir sur quelles thématiques portent ses cuitts.;;;
Info-bulle verifier crédibilité source;Vous pouvez vérifier la crédibilité d'une source en cliquant ici.;;;
Info-bulle joindre un contact pour juger la crédibilité d'une source;Demandez à un de vos contacts d'estimer la crédibilité de cette personne.;;;
Info-bulle joindre un contact pour juger la crédibilité d'une ingo;Demandez à un de vos contacts d'estimer la crédibilité de cette info.;;;
Info-bulle publication d'info niveau 4;Où voulez-vous publier cette info ? Réservez les grandes cases à vos meilleures infos !;;;
Info-bulle publication d'info niveau 4 alors que la maquette est déjà pleine;Votre maquette est déjà pleine. Cliquez sur l'info que vous voulez remplacer.;;;
;;;;
"Pop-up ""Etes vous sûr de publier ?""";Êtes-vous sûr de vouloir publier cette info ?;;;
"Popup ""Etes-vous sur de vouloir écraser ?""";Êtes-vous sûr de vouloir remplacer l'info déjà publiée ?;;;
"Pop-up ""Fin de journée !""";Vous n'avez plus de temps, la journée est finie !;;;
Pop-up confirmation fin de journée anticipée;Êtes-vous sûr de vouloir finir votre journée ?;;;
Pop-up pause/abandon partie;La partie est en pause.;;;
;Reprende la partie;;;
;Recommencer le niveau;;;
;Quitter la partie;;;
